NHCODE	NHingredient
16700	CYCLOSPORINE
16800	CYPROHEPTADINE HYDROCHLORIDE
16900	DEMECLOCYLCINE HYDROCHLORIDE
70700	DERMATOLOGY SKIN CREAM-UNSPECIFIED
17000	DESIPRAMINE HYDROCHLORIDE
17100	DESMOPRESSIN ACETATE
17200	DESOGESTREL ETHINYL ESTRADIOL
17300	DESONIDE
17400	DESOXIMETASONE
17500	DEXAMETHASONE
17600	DEXAMETHASONE SODIUM PHOSPHATE NEOMYCIN SULFATE
17700	DEXAMETHASONE NEOMYCIN SULFATE POLYMYXIN B SULFATE
17800	DEXAMETHASONE TOBRAMYCIN
17900	DEXTROAMPHETAMINE SULFATE
18000	DEXTROMETHORPHAN HYDROBROMIDE
18100	DEXTROMETHORPHAN HYDROBROMIDE GUAIFENESIN
18200	DEXTROMETHORPHAN HYDROBROMIDE GUAIFENESIN PSEUDOEPHEDRINE HYDROCHLORIDE
18300	DEXTROMETHORPHAN HYDROBROMIDE POTASSIUM GUAIACOLSULFONATE
18400	DEXTROMETHORPHAN HYDROBROMIDE PROMETHAZINE HYDROCHLORIDE
18500	DIAZEPAM
18600	DIAZOXIDE
18700	DICLOFENAC POTASSIUM
18800	DICLOFENAC SODIUM
18900	DICLOFENAC SODIUM MISOPROSTOL
70800	DICLOFENAC-UNSPECIFIED
19000	DICLOXACILLIN SODIUM
19100	DICYCLOMINE HYDROCHLORIDE
19200	DIDANOSINE
19300	DIFLORASONE DIACETATE
19400	DIGOXIN
19500	DIHYDROERGOTAMINE MESYLATE
19600	DILTIAZEM HYDROCHLORIDE
19700	DIOXYBENZONE HYDROQUINONE PADIMATE O
19800	DIPHENHYDRAMINE HYDROCHLORIDE
19900	DIPHENIDOL HYDROCHLORIDE
20000	DIPIVEFRIN HYDROCHLORIDE
20100	DIPYRIDAMOLE
20200	DIRITHROMYCIN
20300	DISULFIRAM
20400	DIVALPROEX SODIUM
20500	DOCUSATE SODIUM
20600	DONEPEZIL HYDROCHLORIDE
20700	DORZOLAMIDE HYDROCHLORIDE
20800	DORZOLAMIDE TIMOLOL
20900	DOXAZOSIN MESYLATE
21000	DOXEPIN HYDROCHLORIDE
21100	DOXYCYCLINE
21200	DOXYCYCLINE HYCLATE
21300	DOXYCYCLINE MONOHYDRATE
70900	EAR MEDICATION-UNSPECIFIED
21400	ECONAZOLE NITRATE
21500	EFAVIRENZ
21600	ENALAPRIL MALEATE
21700	ENALAPRIL MALEATE HYDROCHLOROTHIAZIDE
21800	EPINEPHRINE HYDROCHLORIDE
21900	EPOETIN ALFA
22000	ERGOLOID MESYLATES
71000	ERGOTAMINE-UNSPECIFIED
22100	ERYTHROMYCIN
22200	ERYTHROMYCIN ETHYLSUCCINATE
22300	ERYTHROMYCIN ETHYLSUCCINATE SULFISOXAZOLE ACETYL
22400	ESTRADIOL
22500	ESTRADIOL CYPIONATE TESTOSTERONE CYPIONATE
22600	ESTRADIOL VALERATE
22700	ESTROGENS, CONJUGATED
22800	ESTROGENS, CONJUGATED MEDROXYPROGESTERONE ACETATE
22900	ESTROGENS, ESTERIFIED
23000	ESTROGENS, ESTERIFIED METHYLTESTOSTERONE
71100	ESTROGEN-UNSPECIFIED
23100	ESTROPIPATE
23200	ETHAMBUTOL HYDROCHLORIDE
23300	ETHINYL ESTRADIOL ETHYNODIOL DIACETATE
23400	ETHINYL ESTRADIOL LEVONORGESTREL
23500	ETHINYL ESTRADIOL NORETHINDRONE
23600	ETHINYL ESTRADIOL NORETHINDRONE ACETATE
23700	ETHINYL ESTRADIOL NORGESTIMATE
23800	ETHINYL ESTRADIOL NORGESTREL
23900	ETODOLAC
24000	FAMCICLOVIR
24100	FAMOTIDINE
24200	FELODIPINE
24300	FENFLURAMINE HYDROCHLORIDE
24400	FENOFIBRATE
24500	FENOPROFEN CALCIUM
24600	FENOTEROL IPRATROPIUM BROMIDE
24700	FENTANYL
24800	FEXOFENADINE HYDROCHLORIDE
24900	FEXOFENADINE HYDROCHLORIDE PSEUDOEPHEDRINE HYDROCHLORIDE
25000	FINASTERIDE
25100	FLAVOXATE HYDROCHLORIDE
25200	FLUCONAZOLE
25300	FLUDROCORTISONE ACETATE
25400	FLUNISOLIDE
25500	FLUOCINOLONE ACETONIDE
25600	FLUOCINONIDE
25700	FLUOROMETHOLONE
25800	FLUOROURACIL
25900	FLUOXETINE HYDROCHLORIDE
26000	FLUPHENAZINE HYDROCHLORIDE
26100	FLURAZEPAM HYDROCHLORIDE
26200	FLURBIPROFEN
26300	FLUTAMIDE
26400	FLUTICASONE PROPIONATE
26500	FLUVASTATIN SODIUM
26600	FLUVOXAMINE MALEATE
26700	FOSINOPRIL SODIUM
26800	FUROSEMIDE
26900	GABAPENTIN
27000	GEMFIBROZIL
27100	GENTAMICIN SULFATE
27200	GLATIRAMER ACETATE
27300	GLIMEPIRIDE
27400	GLIPIZIDE
27500	GLUCAGON HYDROCHLORIDE
27600	GLYBURIDE
27700	GLYCOPYRROLATE
27800	GRISEOFULVIN, MICROCRYSTALLINE
27900	GUAIFENESIN
28000	GUAIFENESIN HYDROCODONE BITARTRATE
28100	GUAIFENESIN PHENYLEPHRINE HYDROCHLORIDE PHENYLPROPANOLAMINE HYDROCHLORIDE
28200	GUAIFENESIN PHENYLPROPANOLAMINE
28300	GUAIFENESIN PSEUDOEPHEDRINE HYDROCHLORIDE
28400	GUAIFENESIN THEOPHYLLINE
28500	GUANABENZ ACETATE
28600	GUANADREL SULFATE
28700	GUANFACINE HYDROCHLORIDE
28800	HALOPERIDOL
28900	HALOPERIDOL DECANOATE
29000	HALOPERIDOL LACTATE
71200	HEART MEDICINE-UNSPECIFIED
29100	HEPARIN SODIUM
71400	HIGH BLOOD PRESSURE MEDICINE-UNSPECIFIED
29200	HOMATROPINE HYDROBROMIDE
71500	HORMONES-UNSPECIFIED
29300	HYDRALAZINE HYDROCHLORIDE
29400	HYDRALAZINE HYDROCHLORIDE HYDROCHLOROTHIAZIDE
29500	HYDRALAZINE HYDROCHLORIDE HYDROCHLOROTHIAZIDE RESERPINE
29600	HYDROCHLOROTHIAZIDE
29700	HYDROCHLOROTHIAZIDE IRBESARTAN
29800	HYDROCHLOROTHIAZIDE LISINOPRIL
29900	HYDROCHLOROTHIAZIDE LOSARTAN POTASSIUM
30000	HYDROCHLOROTHIAZIDE METHYLDOPA
30100	HYDROCHLOROTHIAZIDE METOPROLOL TARTRATE
30200	HYDROCHLOROTHIAZIDE SPIRONOLACTONE
30300	HYDROCHLOROTHIAZIDE TRIAMTERENE
30400	HYDROCHLOROTHIAZIDE VALSARTAN
30500	HYDROCODONE BITARTRATE
30600	HYDROCODONE BITARTRATE IBUPROFEN
30700	HYDROCODONE BITARTRATE PHENYLEPHRINE HYDROCHLORIDE PYRILAMINE MALEATE
30800	HYDROCODONE BITARTRATE POTASSIUM GUAIACOLSULFONATE
30900	HYDROCODONE BITARTRATE PSEUDOEPHEDRINE HYDROCHLORIDE
71600	HYDROCODONE-UNSPECIFIED
31000	HYDROCORTISONE
31100	HYDROCORTISONE ACETATE PRAMOXINE HYDROCHLORIDE
31200	HYDROCORTISONE VALERATE
31300	HYDROCORTISONE NEOMYCIN SULFATE POLYMYXIN B SULFATE
31400	HYDROFLUMETHIAZIDE RESERPINE
31500	HYDROMORPHONE HYDROCHLORIDE
31600	HYDROQUINONE
31700	HYDROXYCHLOROQUINE SULFATE
31800	HYDROXYPROPYL CELLULOSE
31900	HYDROXYZINE HYDROCHLORIDE
32000	HYDROXYZINE PAMOATE
32100	HYOSCYAMINE
32200	HYOSCYAMINE SULFATE
32300	IBUPROFEN
32400	IMIPRAMINE HYDROCHLORIDE
32500	INDAPAMIDE
32600	INDINAVIR SULFATE
32700	INDOMETHACIN
71700	INHALER-UNSPECIFIED
71800	INJECTIONS-UNSPECIFIED
32800	INSULIN
32900	INTERFERON ALFA-2B RIBAVIRIN
33000	IPRATROPIUM BROMIDE
33100	IRBESARTAN
33200	IRINOTECAN HYDROCHLORIDE
33300	ISONIAZID
33400	ISONIAZID RIFAMPIN
33500	ISOSORBIDE DINITRATE
33600	ISOSORBIDE MONONITRATE
71900	ISOSORBIDE-UNSPECIFIED
33700	ISOTRETINOIN
33800	ISOXSUPRINE HYDROCHLORIDE
33900	ISRADIPINE
34000	ITRACONAZOLE
34100	KETOCONAZOLE
34200	KETOPROFEN
34300	KETOROLAC TROMETHAMINE
34400	KETOTIFEN FUMARATE
34500	LABETALOL HYDROCHLORIDE
34600	LACTIC ACID
34700	LACTULOSE
34800	LAMIVUDINE
34900	LAMIVUDINE ZIDOVUDINE
35000	LANSOPRAZOLE
35100	LATANOPROST
35200	LEFLUNOMIDE
35300	LETROZOLE
35400	LEUCOVORIN CALCIUM
35500	LEUPROLIDE ACETATE
35600	LEVALBUTEROL HYDROCHLORIDE
35700	LEVOBUNOLOL HYDROCHLORIDE
35800	LEVOCABASTINE HYDROCHLORIDE
35900	LEVOFLOXACIN
36000	LEVONORGESTREL
36100	LEVOTHYROXINE SODIUM
36200	LEVOTHYROXINE LIOTHYRONINE
36300	LISINOPRIL
36400	LITHIUM CARBONATE
72000	LITHIUM-UNSPECIFIED
36500	LOPERAMIDE HYDROCHLORIDE
36600	LORACARBEF
36700	LORATADINE
36800	LORATADINE PSEUDOEPHEDRINE SULFATE
36900	LORAZEPAM
37000	LOSARTAN POTASSIUM
37100	LOTEPREDNOL ETABONATE
37200	LOVASTATIN
37300	LOXAPINE SUCCINATE
37400	MECLIZINE HYDROCHLORIDE
37500	MECLOFENAMATE SODIUM
37600	MEDROXYPROGESTERONE ACETATE
37700	MEGESTROL ACETATE
37800	MELOXICAM
37900	MEPERIDINE HYDROCHLORIDE
38000	MEPROBAMATE
38100	MESALAMINE
38200	MESTRANOL NORETHINDRONE
38300	METAPROTERENOL SULFATE
38400	METAXALONE
38500	METFORMIN HYDROCHLORIDE
38600	METHADONE HYDROCHLORIDE
38700	METHIMAZOLE
38800	METHOCARBAMOL
38900	METHOTREXATE SODIUM
39000	METHOXAMINE HYDROCHLORIDE
39100	METHSCOPOLAMINE BROMIDE
39200	METHYCLOTHIAZIDE
39300	METHYCLOTHIAZIDE RESERPINE
39400	METHYLDOPA
39500	METHYLPHENIDATE HYDROCHLORIDE
39600	METHYLPREDNISOLONE
39700	METHYLPREDNISOLONE ACETATE
39800	METIPRANOLOL
39900	METOCLOPRAMIDE HYDROCHLORIDE
40000	METOLAZONE
40100	METOPROLOL SUCCINATE
40200	METOPROLOL TARTRATE
40300	METRONIDAZOLE
40400	METRONIDAZOLE TETRACYCLINE HYDROCHLORIDE
40500	MEXILETINE HYDROCHLORIDE
40600	MIDODRINE HYDROCHLORIDE
40700	MINOCYCLINE HYDROCHLORIDE
40800	MINOXIDIL
40900	MIRTAZAPINE
41000	MOEXIPRIL HYDROCHLORIDE
41100	MOMETASONE FUROATE
41200	MOMETASONE FUROATE MONOHYDRATE
41300	MONTELUKAST SODIUM
41400	MORPHINE SULFATE
41500	MOXIFLOXACIN HYDROCHLORIDE
41600	MUPIROCIN CALCIUM
41700	MYCOPHENOLATE MOFETIL
41800	NABUMETONE
41900	NADOLOL
42000	NAFTIFINE HYDROCHLORIDE
42100	NALOXONE HYDROCHLORIDE PENTAZOCINE HYDROCHLORIDE
42200	NAPROXEN
42300	NAPROXEN SODIUM
42400	NEFAZODONE HYDROCHLORIDE
42500	NELFINAVIR MESYLATE
42600	NEOMYCIN SULFATE POLYMYXIN B SULFATE
72100	NERVE MEDICINE-UNSPECIFIED
42700	NIACIN
42800	NICARDIPINE HYDROCHLORIDE
42900	NIFEDIPINE
43000	NILUTAMIDE
43100	NISOLDIPINE
43200	NITROFURANTOIN
43300	NITROFURANTOIN, MACROCRYSTALLINE
43400	NITROGLYCERIN
43500	NIZATIDINE
43600	NORETHINDRONE
43700	NORETHINDRONE ACETATE
43800	NORFLOXACIN
43900	NORTRIPTYLINE HYDROCHLORIDE
44000	NYSTATIN
44100	NYSTATIN TRIAMCINOLONE ACETONIDE
44200	OFLOXACIN
44300	OLANZAPINE
44400	OMEPRAZOLE
44500	ONDANSETRON HYDROCHLORIDE
44600	ORLISTAT
44700	ORPHENADRINE CITRATE
44800	OXACILLIN SODIUM
44900	OXANDROLONE
45000	OXAPROZIN
45100	OXAZEPAM
45200	OXICONAZOLE NITRATE
45300	OXYBUTYNIN CHLORIDE
45400	OXYCODONE HYDROCHLORIDE
72200	PAINKILLER-UNSPECIFIED
45500	PANTOPRAZOLE SODIUM
45600	PAROXETINE HYDROCHLORIDE
45700	PEMOLINE
45800	PENBUTOLOL SULFATE
45900	PENICILLIN G PROCAINE
46000	PENICILLIN V
46100	PENICILLIN V POTASSIUM
72300	PENICILLIN-UNSPECIFIED
46200	PENTOSAN POLYSULFATE SODIUM
46300	PENTOXIFYLLINE
46400	PEPSIN
46500	PERMETHRIN
46600	PERPHENAZINE
46700	PHENAZOPYRIDINE HYDROCHLORIDE
46800	PHENIRAMINE MALEATE PHENYLPROPANOLAMINE HYDROCHLORIDE PHENYLTOLOXAMINE CITRATE PYRILAMINE MALEATE
46900	PHENOBARBITAL
47000	PHENTERMINE HYDROCHLORIDE
47100	PHENYLEPHRINE HYDROCHLORIDE PROMETHAZINE HYDROCHLORIDE
47200	PHENYLEPHRINE TANNATE PYRILAMINE TANNATE
47300	PHENYTOIN SODIUM
47400	PILOCARPINE HYDROCHLORIDE
47500	PINDOLOL
47600	PIOGLITAZONE HYDROCHLORIDE
47700	PIRBUTEROL ACETATE
47800	PIROXICAM
47900	POLYETHYLENE GLYCOL 3350
48000	POTASSIUM
48100	POTASSIUM BICARBONATE
48200	POTASSIUM CHLORIDE
48300	PRAMIPEXOLE DIHYDROCHLORIDE
48400	PRAVASTATIN SODIUM
48500	PRAZOSIN HYDROCHLORIDE
48600	PREDNISOLONE
48700	PREDNISOLONE ACETATE
48800	PREDNISOLONE ACETATE SULFACETAMIDE SODIUM
48900	PREDNISOLONE SODIUM PHOSPHATE
49000	PREDNISONE
49100	PRIMIDONE
49200	PROBENECID
49300	PROCHLORPERAZINE
49400	PROCHLORPERAZINE MALEATE
49500	PROGESTERONE
49600	PROMETHAZINE HYDROCHLORIDE
49700	PROPAFENONE HYDROCHLORIDE
49800	PROPOXYPHENE HYDROCHLORIDE
49900	PROPOXYPHENE NAPSYLATE
50000	PROPRANOLOL HYDROCHLORIDE
50100	PROPYLTHIOURACIL
50200	PYRAZINAMIDE
50300	PYRIDOSTIGMINE BROMIDE
50400	QUETIAPINE FUMARATE
50500	QUINAPRIL HYDROCHLORIDE
50600	QUINIDINE GLUCONATE
50700	QUININE SULFATE
50800	RABEPRAZOLE SODIUM
50900	RALOXIFENE HYDROCHLORIDE
51000	RAMIPRIL
51100	RANITIDINE HYDROCHLORIDE
51200	REPAGLINIDE
51300	RESERPINE
51400	RIFABUTIN
51500	RISEDRONATE SODIUM
51600	RISPERIDONE
51700	RITONAVIR
51800	RIVASTIGMINE TARTRATE
51900	RIZATRIPTAN BENZOATE
52000	ROFECOXIB
52100	ROPINIROLE HYDROCHLORIDE
52200	ROSIGLITAZONE MALEATE
52300	SALMETEROL XINAFOATE
52400	SALSALATE
52500	SAQUINAVIR
52600	SELEGILINE HYDROCHLORIDE
52700	SERTRALINE HYDROCHLORIDE
52800	SEVELAMER HYDROCHLORIDE
52900	SIBUTRAMINE HYDROCHLORIDE
53000	SILDENAFIL CITRATE
53100	SIMETHICONE
53200	SIMVASTATIN
72400	SLEEPING PILLS-UNSPECIFIED
53300	SODIUM BICARBONATE
53400	SODIUM CHLORIDE
53600	SOMATROPIN
53700	SOTALOL HYDROCHLORIDE
53800	SPIRONOLACTONE
53900	STANNOUS FLUORIDE
54000	STAVUDINE
72500	STEROIDS-UNSPECIFIED
54100	SUCRALFATE
54200	SULFACETAMIDE SODIUM
54300	SULFAMETHOXAZOLE
54400	SULFAMETHOXAZOLE TRIMETHOPRIM
54500	SULFASALAZINE
54600	SULFISOXAZOLE ACETYL
54700	SULINDAC
54800	SUMATRIPTAN SUCCINATE
54900	TACROLIMUS
55000	TAMOXIFEN CITRATE
55100	TAMSULOSIN HYDROCHLORIDE
55200	TAZAROTENE
55300	TEGAFUR URACIL
55400	TEMAZEPAM
55500	TERAZOSIN HYDROCHLORIDE
55600	TERBINAFINE HYDROCHLORIDE
55700	TERBUTALINE SULFATE
55800	TESTOSTERONE
55900	TETRACYCLINE HYDROCHLORIDE
56000	THEOPHYLLINE
56100	THIORIDAZINE HYDROCHLORIDE
56200	THIOTHIXENE
56300	THYROID
56400	TIAGABINE HYDROCHLORIDE
56500	TICLOPIDINE HYDROCHLORIDE
56600	TIMOLOL
56700	TIMOLOL MALEATE
56800	TIZANIDINE HYDROCHLORIDE
56900	TOBRAMYCIN
57000	TOBRAMYCIN SULFATE
57100	TOLAZAMIDE
57200	TOLMETIN SODIUM
57300	TOLTERODINE TARTRATE
57400	TOPIRAMATE
57500	TORSEMIDE
57600	TRAMADOL HYDROCHLORIDE
57700	TRANDOLAPRIL
57800	TRANDOLAPRIL VERAPAMIL HYDROCHLORIDE
57900	TRAZODONE HYDROCHLORIDE
58000	TRETINOIN
58100	TRIAMCINOLONE
58200	TRIAMCINOLONE ACETONIDE
58300	TRIAMCINOLONE DIACETATE
58400	TRIAMTERENE
58500	TRIAZOLAM
58600	TRIFLUOPERAZINE HYDROCHLORIDE
58700	TRIHEXYPHENIDYL HYDROCHLORIDE
58800	TRIMETHOPRIM
58900	TRIMIPRAMINE MALEATE
59000	TROGLITAZONE
72600	ULCER MEDICATION-UNSPECIFIED
59100	VALACYCLOVIR HYDROCHLORIDE
59200	VALPROIC ACID
59300	VALSARTAN
59400	VENLAFAXINE HYDROCHLORIDE
59500	VERAPAMIL HYDROCHLORIDE
59600	WARFARIN SODIUM
59700	ZAFIRLUKAST
59800	ZALEPLON
59900	ZOLMITRIPTAN
60000	ZOLPIDEM TARTRATE
