source_code,source_code_description,freq
"Pediatrics, Hematology-Oncology","Pediatrics, Hematology-Oncology",231
Neurophysiology,Neurophysiology,220
Palliative Medicine,Palliative Medicine,208
Speech,Speech,199
"Pediatrics, Infectious Diseases","Pediatrics, Infectious Diseases",190
"Internal Medicine, Adolescent","Internal Medicine, Adolescent",188
"Surgery, Oncology","Surgery, Oncology",185
"Pediatrics, Allergy and Immunology","Pediatrics, Allergy and Immunology",180
"Pediatrics, Adolescent Medicine","Pediatrics, Adolescent Medicine",177
Nuclear Medicine,Nuclear Medicine,169
"Pediatrics, Pulmonology","Pediatrics, Pulmonology",167
"Surgery, Plastic Hand","Surgery, Plastic Hand",162
"Obsterics & Gynecology, Gynecologic Onco","Obsterics & Gynecology, Gynecologic Onco",153
Outreach Services,Outreach Services,152
"Pediatrics, Nephrology","Pediatrics, Nephrology",151
Care Team,Care Team,149
Audiology,Audiology,146
Osteopath,Osteopath,145
"Pathology, Forensic","Pathology, Forensic",129
"Pediatrics, Ophthalmology","Pediatrics, Ophthalmology",122
"Endocrinology, Diabetes","Endocrinology, Diabetes",120
Radiology Nuclear Med.,Radiology Nuclear Med.,119
Perinatology,Perinatology,109
"Endocrinology, Reproductive","Endocrinology, Reproductive",105
"Radiology, Therapeutic","Radiology, Therapeutic",104
"Obstetrics and Gynecology, Maternal-Feta","Obstetrics and Gynecology, Maternal-Feta",99
"Radiology, Diagnostic","Radiology, Diagnostic",89
"Transplantation, Other","Transplantation, Other",84
"Surgery, Plastic within Head and Neck","Surgery, Plastic within Head and Neck",83
Adolescent Behavior Health,Adolescent Behavior Health,80
"Psychiatry, Addictive","Psychiatry, Addictive",74
"Pediatrics, Orthopedics","Pediatrics, Orthopedics",72
Orthodontics,Orthodontics,67
Nutrition,Nutrition,48
"Pediatrics, Nephology","Pediatrics, Nephology",40
Dialysis,Dialysis,32
"Pediatrics, Rheumatology","Pediatrics, Rheumatology",31
"Internal Medicine, Pediatric","Internal Medicine, Pediatric",31
Developmental Disabilities,Developmental Disabilities,26
Polysomnography (Sleep Study),Polysomnography (Sleep Study),23
"Cardiology, Interventional","Cardiology, Interventional",23
"Surgery, Bariatric","Surgery, Bariatric",21
"Transplantation, Renal","Transplantation, Renal",19
Hepatology,Hepatology,19
Wound Care,Wound Care,18
"Transplantation, Liver","Transplantation, Liver",16
"Pharmacology, Clinical","Pharmacology, Clinical",13
Administrative Medicine,Administrative Medicine,13
"Cardiology, Electrophysiology","Cardiology, Electrophysiology",12
Veterinary,Veterinary,10
"Pathology, Chemistry","Pathology, Chemistry",8
Burn,Burn,8
"Pathology, Immunology","Pathology, Immunology",7
"Pathology, Hematology / Coagulation","Pathology, Hematology / Coagulation",7
"Allergy and Immunology, Clinical & Labor","Allergy and Immunology, Clinical & Labor",7
"Radiology, Vascular Interventional","Radiology, Vascular Interventional",5
Spinal Cord Injury Medicine,Spinal Cord Injury Medicine,4
"Pathology, Blood Bank / Transfusion","Pathology, Blood Bank / Transfusion",4
"Not a Medical Specialty, Not Active","Not a Medical Specialty, Not Active",4
Hyperbaric Medicine,Hyperbaric Medicine,4
"Transplantation, Thoracic/Lung","Transplantation, Thoracic/Lung",3
Phlebotomist,Phlebotomist,3
Adult and Pediatric Clinic,Adult and Pediatric Clinic,3
Proctology,Proctology,2
"Pathology, Surgical","Pathology, Surgical",2
"Pathology, Cytopathology","Pathology, Cytopathology",2
Epidemiology,Epidemiology,2
"Pathology, Radioisotopic","Pathology, Radioisotopic",1
"Not a Medical Specialty, Obsolete","Not a Medical Specialty, Obsolete",1
